"dropoff_centroid_location","dropoff_count"
"POINT (-87.6327464887 41.8809944707)","136487"
"POINT (-87.6333080367 41.899602111)","115077"
"POINT (-87.6559981815 41.9442266014)","106349"
"POINT (-87.6572331997 41.8852813201)","104729"
"POINT (-87.6635175498 41.874005383)","103041"
"POINT (-87.9030396611 41.9790708201)","102764"
"POINT (-87.6318639497 41.8920421365)","99297"
"POINT (-87.6209929134 41.8849871918)","98340"
"POINT (-87.6763559892 41.9012069941)","95257"
"POINT (-87.6378442095 41.8932163595)","90183"
