"pickup_centroid_location","pickup_count"
"POINT (-87.6327464887 41.8809944707)","130031"
"POINT (-87.6559981815 41.9442266014)","112422"
"POINT (-87.6333080367 41.899602111)","106575"
"POINT (-87.6572331997 41.8852813201)","98480"
"POINT (-87.6763559892 41.9012069941)","97498"
"POINT (-87.6318639497 41.8920421365)","96321"
"POINT (-87.6635175498 41.874005383)","94552"
"POINT (-87.6378442095 41.8932163595)","92930"
"POINT (-87.6209929134 41.8849871918)","91361"
"POINT (-87.9030396611 41.9790708201)","91028"
